Property Name,Review Rating,Review Title,ReviewText,Location Of The Reviewer,Date Of Review
Apex London Wall Hotel,4,business hotel in the city,"very well situated , although if you arrive on Sunday evening this area is very quite/deserted. Very good hotel and a good service provided. There were building works going on outside which started at 6am which will last until March 2017 so if you don't want to get up early this may not suit you.","Glasgow, United Kingdom",10/20/2016
The Savoy,5,Amazing,"Stayed at the Savoy for my wedding anniversary, from start to finish the experience was amazing. I have stayed in some amazing hotels all around the world and I can be hard to please, but the level of detail at the Savoy is off the scale. Every member of staff knows your name (even ones that haven’t served you) the rooms are as you would expect for a 5 star, big,clean just right. They offer a text service where you can text your request anytime of day! trust me this is the best thing I have ever come across!!! From ice in my room to book me a table at a club to ask for my car to be ready at checkout!! Seriously I cannot emphasis enough how good this service is. Yes it’s not cheap to stay there but if you can afford to stay in London don’t wast your time &amp; money at the other hotels stay at the Savoy!! | Well don’t Savoy you have it right...",NA,5/27/2018
Mondrian London at Sea Containers,5,Great location and enthusiastic staff,The ample rooms are spotless and fresh with Malin + Goetz amenities in the bath. Beds are extremely comfortable. | Delicious breakfast buffet in the Sea Containers restaurant on the premises - a good value in and of itself. We will definitely return.,Oslo,2/18/2016
Apex London Wall Hotel,5,Fantastic hotel,"This is a great hotel in a good location. From Heathrow you take the Piccadilly line (blue) to Holburn and then change onto the Central line (red) and get off at either Bank or Liverpool street station. Liverpool Street station also does trains to Stansted. | Located in the Financial district this means that the area is quiet during the weekend which is perfect as there was no noise from the street to disrupt your sleep. Our room was on the first floor and we couldn’t hear anything. The room did look out onto an office block, this didn’t matter as there was no-one there during the weekend. Not sure whether this would be an issue for some during the week. There are net and full curtains though. | Didn’t encounter much staff throughout our 2 night stay but those we did were friendly, pleasant and efficient. The hotel itself is a boutique hotel and would be reminisce of the W hotel chain in the US which I like. | We had the standard King room and it was very roomy. The bed &amp; pillows were very comfortable but there didn’t seem to be enough duvet, it seemed to be the size of the mattress without having any hangover. This was OK as the room was warm enough and we didn’t need the duvet for heat. The decor in the room was very modern with greens, blues and browns and the throw, cushions and curtains all matched. I loved the Chaise Long at the end of the bed as it meant that when you want to relax and watch tv you had something other then the bed to sit on. We didn’t use the other extras in the room such as the free local calls or the Mp3 docking station, but they were there if we need to. There is a gym available but we never got the time to see it. | The bathroom was lovely, bright with a large mirror. The bath was a good size and had the taps in the middle. The shower was a lovely big separate shower with a rain shower head which was great. Hairdryer is provided along with mini body lotion, shampoo, shower gel bottles. | We didn’t have any meals at the hotel so we can’t comment on the food. As you are in the financial district which shuts down a bit at the weekend there is a limited amount open for to grab breakfast so it might be just as easy to eat in the hotel. For dinner there is a Pizza Express close by and pubs as you make your way towards Liverpool Street and London Wall. There is a Tesco Metro a couple of minutes from Liverpool street station. | All in all I would recommend this hotel and would definitely return",Belfast -Northern Ireland,11/21/2011
The Dorchester,5,Truly A 5% Star Experience,"The Hotel embodies the best aspects of a 5 star establishment,with long traditions and flawless service Being greeted by name having your preferences noted for this and future stays and an immediate reponse to any problems that might arise.This is traditional not trendy or boutique establishment. | Politeness curtersey and charm are by words here as well as the impeccable apperance and attention of staff at all levels. | The room I was given though traditional as ithas every mod con and tech access you night require .The bed was too comfortable there is ample storage for ones clothes and a spacious bathroom with a hot towel rail which is a personal plus. | Breakfast was served in The Grill semi buffett or a'la carte in the Prominade , I requested an item from one menu whilst in the other room and was served without even a moments hesitation such a pleasure | Situated on Park Lane is midway between KnightsBridge ,Bond Street / Oxford Streetand Piccadilly/Regent Street a haven for shoppers as well as being well located for museums Monuments The Parks and a brisk walk to Buckingham Palace.","Tel Aviv, Israel",11/30/2016
Rhodes Hotel,4,Value for money!,"Thank you for a pleasant staying! The hotel is tiny but cozy and well-equipped. Very polite and helpfull staff. Rooms are in accurate size, not too much not too little. Nice newly renowated bathroom with hairdrier, comfortable bed, nice big tv, free wifi. No elevator, but the stuff caries up the luggage without even asking about it! :) Really pleased with this hotel, surely coming back one day! :)","Drammen, Norway",1/9/2014
Mondrian London at Sea Containers,5,Dinner for three,"Excellent dinner and service, which made the money spent for it totally worth it. The Imburrata was awesome and made me forget for a moment of being away from Italy. The salmon was perfectly cooked and dressed and I also advise the sea bass, but for no more than two people. Impeccable service was provided by both Fortunato and Alberto, thing which we all know is getting always more and more rare to find in London. | Check out the bar at the top of the hotel for a drink with an amazing view all over the Thames and St Paul's. | I'll be back for sure.",NA,4/26/2015
Corinthia Hotel London,5,Fabulous,What a great hotel the Corinthia is. Upgraded on check in. Lovely spacious room with a fabulous bathroom. Super charming staff with a terrifically helpful concierge . We will definitely return when we next go for a London break. Also we enjoyed a fabulously decadent afternoon tea.,NA,2/22/2013
Ridgemount Hotel,1,"No service, no ammenities, nothing","London is very expensive. Considering the location the price for the hotel is alright. Nevertheless the rooms were very small, very average. Don't expect anything. The location is noisy, there is not even shower gel in the showers. The breakfast was the worst we had in the 3 weeks trip and there was no alternative to choose from. The managers are trying to help with every request regarding sightseeing and such but it does not compensate for the lack of almost everything.",Mainz,4/10/2012
Apex London Wall Hotel,4,Good service and an enjoyable stay,"The Apex London Wall Hotel provided a very comfortable room (but without a view). After a slight queue, the breakfast table service was excellent and the food included freshly baked pastries. The complimentary drinks at the bar were appreciated. The room mini-bar was lacking a few items and had not been cleaned out (someone had left something which was starting to go off!). Being able to store our luggage after check out was really helpful, allowing us to spend a few more hours in London before heading home. | Overall, I would recommend this hotel and would be happy to stay here again.","Leicester, United Kingdom",11/28/2016
Corinthia Hotel London,5,Beautiful,"Wow. | Beautiful food. Beautiful place. | This place is a must. | Italian food at its best. | Amazing service. | I will revisit. X | Fantastic wine menu. | The staff are attentive, just the correct amount. | Knowledgeable on the menus and the hotel decor and design. Being an interior designer this impressed be hugely. :) | The bar is beautiful | X","Brighton and Hove, United Kingdom",7/3/2015
"Mandarin Oriental Hyde Park, London",4,"Snooty Doormen, Small Rooms but unmistakingly Mandarin","We stayed at the London Mandarin Oriental which is located right on Hyde Park facing Harvey Nichols. There’s no better location if you need the triple endorsement of a good address, period real estate and a plethora of luxury brands. You’re surrounded by high culture (the V&amp;A is a mere stroll away), high prices and a heightened sense of privileged entitlement. This might account for the slight snootiness of the doormen at MO but once you run their gauntlet, the supreme aesthetics of the interiors are calming and reassuring. Our guest room was courtyard-facing, small and dark but that’s not uncommon in cities like London. The MO experience was evident by the regularly refreshed fresh fruit, the “his and her” slippers and the genius whimsical touch of a fan shaped bookmark discreetly placed in your book on the night stand. - See more at: http://padraicino.com/2014/02/14/48-hours-london-beyond-tourist-trails/#sthash.4zJkufpn.dpuf","Dublin, Dublin, Ireland",2/19/2014
The Dorchester,5,Married at the Dorchester....exquisite hotel!,My husband and I chose The Dorchester for our wedding on May 2nd and had an amazing time. From visiting the hotel to plan our day up until we checked out the staff were superb. We were married in the Pavillion and Penthouse room on the 8th floor overlooking the city and had an amazing day. | We had a suite overlooking Mayfair and on arrival were given a bottle of champagne and chocolate covered strawberries which we enjoyed in the mammoth bath. After our wedding we returned to the room to find more strawberries and a lovely card from the hotel manager congratulating us on our wedding. | We ordered breakfast in bed and the amount of food that was delivered was brilliant. We ate in the room and the server set up the table and came back later to collect the dishes. We forgot toothbrushes and they kindly brought them up along with a comb and toothpaste. | The staff are the blood of the hotel. Everyone was extremely friendly and the service second to none. We are already planning our next visit.,"Leigh-on Sea, United Kingdom",5/28/2009
Apex London Wall Hotel,5,Komfortabel und zentral,"Das Doppelzimmer war zwar nicht so groß, aber durchaus ausreichend zum Übernachten. Der Nassbereich mit großer Dusche war sehr gepflegt und sauber. Das Hotel liegt im Business-Bereich, dadurch sehr ruhig, trotzdem nur ein paar Gehminuten von den Sehenswürdigkeiten, Themse und Shoppingstrassen entfernt. Ein Ruhepol in dieser attraktiven und touristischen Stadt. Sehr empfehlenswert.",NA,4/27/2017
Apex London Wall Hotel,5,"Great location, fantastic staff","A great location, close to Trafalgar Square and Temple church. a block from the Thames and central to just about anything you would want to see in London. Great rooms and services and a staff that really welcomes you.","Eugene, Oregon",2/22/2016
London Guest House,4,The best you'll find for the price!,"Our first impression of the hotel was that it was incredibly tiny, but because we didn't stay in the room at all during the day (and what tourist would) this didn't affect us at all. The facilities were immaculately clean and the staff was incredibly friendly and extremely helpful. The included continental breakfast was quite basic but at the same time, was a great start to the day. There is a London tube station (Acton Town) about 15mins away which is a lengthy walk particularly during the evening hours. However, a 5 pound cab ride should get you to the hotel in no time. There was road works outside our room at the time we were here which were loud and made it hard to sleep but they'll be long done by the time anyone who reads this will book a stay.Unfortunately we prematurely checked out and are incredibly depressed as we cannot find anything better for the price. I'm currently writing this in the devonshire arms pub in Picadilly Circus after booking a crap hole of a hostel and wishing I had booked more nights at the London guest house. Do you're self a favour and book this hotel because the money you save being here will make your holiday that much better. Good luck!","Adelaide, Australia",6/19/2011
The Savoy,5,Short stay,A fantastic stay at The Savoy. The first time I have stayed at the hotel and it did not disappoint. Service was exemplary and the food was wonderful with a perfect balance. | Finally the American bar experience should not be missed and Eric created some fantastic cocktails to end the night.,NA,10/20/2015
Mondrian London at Sea Containers,5,Very good on all aspects,"Although we arrived comfortably after check-in time we were initially disappointed that the receptionist wasn't sure if the room was ready; we decided to wait in the bar and we didn't wait long as within 5 minutes they had come to find us with our keys and an assurance that everything was ready for us. | The room was incredibly comfortable with a well appointed bathroom and a fantastic view out over the river. We had drinks sent up through room service, which arrived promptly. | We also tried the Rumpus room later that evening and even though we were late for our booked slot they managed to arrange for us to still have a table - the bar had a great atmosphere, excellent drinks and reasonably attentive service. | We both really enjoyed the breakfast - although as with many high-end hotels it is very expensive. Over all we had a great time here and would happily recommend it.","London, United Kingdom",1/18/2016
Mondrian London at Sea Containers,5,lovely hotel,"From the moment we checked in to the moment we left we were treated like royalty. | The staff were friendly and couldn't do enough for you, the room was model and funky. The cocktails were exceptional, the room service was fast and extremely tasty. | A great stay","Ipswich, United Kingdom",5/10/2015
Rhodes Hotel,5,Fantastico hotel!,"Posizione ottimale, l'hotel è situato a meno di 2 minuti a piedi dalla metro!Le camere sono molto pulite e accoglienti!Il personale è molto cortese e pronto ad aiutare per qualsiasi eventuale problema!Ci tornerò sicuramente!",NA,2/6/2015
Ridgemount Hotel,5,Loved the Ridgemount Hotel,"I checked so many Bed &amp; Breakfast sites it was ridiculous, I started going straight to the reviews and they were all pretty mediocre. Then I found the Ridgemount! | It was such a pleasure staying there. The family and staff were wonderful. When I injured myself and ended up in a cast they helped me in every way, they changed my room and brought my belongings down for me, even brought breakfast to my room for me. | The hotel was clean, the staff friendly and polite. Excellent location, quiet and the breakfast was delicious. I can't say enough, I will definately stay there again.",Connecticut,3/14/2010
The Lanesborough,5,The feel of real luxury in the heart of London,"I have to admit that I was very skeptical about staying at the newly re-opened Lanesborough hotel - mainly because I am usually trying to avoid hotels that remind me of museums or palaces, and try to go for something more contemporary or even futuristic. On top of that, it seemed like the pictures on the web-site didn't really do justice to the hotel and made it look more like a museum than an appealing place to stay. | However, upon arriving to the hotel and checking-in, my perception has gone into a completely different direction - the hotel does offer a truly luxurious experience with the exceptional staff that make you feel like a royalty. All the rooms are superb, exquisitely designed and are quite spacious. | The overall atmosphere is the one of an expensive and lush British country house, and that is such a unique feel for those who decide to stay on a Park Lane - the Lanesborough truly does stand out among other 5-star hotels by offering a one of a kind accommodation. | Amongst other positives, I definitely would point the great welcome amenities in the room upon arrival including a bottle of champagne and fresh fruit basket, the best cosmetics line there is out there that is provided in all room categories - of a highest quality, the free wi-fi internet, and amazingly decorated public areas, as well as the open-air cigar room for all the cigar lovers. | The hotel offers different styles on all 4 floors, the 4th being the lightest and brightest and probably most suitable for a younger crowd. | The only negative throughout the whole stay was the false fire alarm that started at 8am and the staff couldn't turn it down for about 30 minutes - but hopefully that was a one-time thing and only happened because the hotel is not fully opened yet and there are still some repairs and renovations going on in certain areas of the hotel. | For those looking for the unique luxurious experience of a traditional, yet royal, British accommodation, the Lanesborough is definitely the place to go to.","Moscow, Russia",7/27/2015
The Savoy,4,Teething problems?,"I stayed at The Savoy with my 19 year old daughter for the first time since the renovations. I will sum up my stay as being 'unfortunate' When I arrived there was no one to meet and greet me so I went inside and found that reception had been moved from it's original location, I wandered around and found a queue of people who were waiting to get into the American bar for a drink? I eventually found the room where you could check in and was told my room was not ready. I left my bag and went out and returned at 3pm to find that there still wasn't a room for me (I had requested a twin room in a quiet location) I explained that I needed to take some pain killers for my bad back and I was given a glass of water which went on the bill, a little bit mean I thought. When my room was ready I noticed I had been given a room with road works outside so they moved us without any fuss. Room 2 was a nice big room with a hideous view but my daughter and I decided not to complain, that is until I realised we were next to the lift shaft and unable to sleep. We were moved again on the following day to a smaller room which was quiet, that is until the 'RAVE' in the next room started at 3am. So 2 nights without any sleep! Security did move the people out promptly. | The things we did like about our stay were the lovely staff who looked after us and were very polite inspite of my rantings, the decor, the bathroom and the food. We did not like being told that we cannot have a drink in the bar unless we joined the queue I did ask the concierege to see if we could bypass as we were guests &amp; I could not stand due to my back problem but alas no. | I stay in London for business on a regular basis mostly at The Carlton Tower or the Grosvenor hotel but I will be returning to The Savoy in January with my husband this time. I have been promised it will be perfect and I hope it will be.","Brentford, United Kingdom",12/15/2010
The Dorchester,5,Simply Outstanding,"We frequently visit London for short breaks and we like to stay at different hotels each time. Service is extremely important to us and at The Dorchester, we get the best possible service from each member of staff. Good job and thank you guys!","Bristol, United Kingdom",2/22/2017
Mondrian London at Sea Containers,5,Great hotel top location and quality experience,"This hotel is conveniently situated on the south bank near Blackfriars bridge and the OXO tower. Very modern, clean spacious rooms. We stayed two nights and had breakfast which was excellent quality and choice. Used the roof top bar which was impressive | Would recommend and will stay there again when in London","Northampton, United Kingdom",2/4/2018
The Rembrandt,4,We are going back,"My wife and I stayed at the Rembrandt in August 2002 for four nights. The location is superb, across the street from the Victoria and Albert Museum, very close to Harrods, Buckingham Palace, and tube stops. | The rooms are nicely done, older, but well cared for. The staff is very attentive, and the breakfasts are great in a very comfortable dining room. | We are going back in September for four more nights. Highly recommended.","Visalia, California",7/20/2004
The Savoy,5,"A Fairmont Hotels ""Treasure"" in London exactly where you want to be","Having experience with other Fairmont properties, we expected a good stay....what we got was a 'great' stay. | From our first contact with Matt Williams and Hannah Roebuck to the car/driver that greeted us at the airport, to the little requests we made during our week stay, this Fairmont, proved to be one of the best. We had hoped to have a room with a view...and had requested same, but that aside, all else was terrific. As with real estate (location location location)...5 star hotels is about (service service service). This is an exceptional hotel, an excellently located oasis in a busy city and well worth the cost. Invest your money with the best, the returns are double digit !","Orlando, Florida",8/16/2013
The Savoy,5,The lap of luxury,"We were supposed to be staying at the St James Sofitel, which I'm sure would have been a great hotel, but due to an error on the travel agent's part, we were upgraded to a room at The Savoy. And what an upgrade! Pulling in off the Strand in our taxi you can tell it's going to be a luxurious stay, as the doormen take your bags and you are welcomed by a member of staff who takes you straight to your room to check in. Everything about this place is beautiful, even the lifts! There are amazing paintings, vases and old style telephones at every turn in the corridors and our Edwardian room (523) was no less stylish. We had a very comfy king size bed and a view over the courtyard and a large bathroom with a bath and rain shower. The toiletries are Le Labo and smell divine, and the mini bar is the best stocked bar I've ever seen in a hotel with Ruinart champagne and Charbonnel and Walker chocolates! The first night we had dinner next door at Simpsons-in-the-Strand but were ready for breakfast the next morning. | We went down to the Thames Foyer, a stunning setting for breakfast, and although service was slow (we think they forgot our order the first time round), the food was great, with lots to choose from. We were in no rush, so this wasn't a problem, and we enjoyed being waited on and feeling like royalty. All the staff are so friendly and helpful. | Before dinner we enjoyed a cocktail in the American bar, which, although not cheap, is a fun place to drink. The next day, we managed to get a table for afternoon tea, again in the Thames Foyer. I would advise a light breakfast and certainly no lunch if you do this, as there is a LOT of delicious food here, worth the stay alone to experience this. They even served a version of Will and Kate's chocolate wedding cake, yum! They will also replenish anything you want more of. That evening was spent in the Beaufort bar, exquisitely decorated in a black and gold deco theme, the singer even complimented me on my dress! Everything about this place makes you feel special, which is what a holiday should be about. The drinks are not cheap, but despite having 5 or 6 champagne cocktails, there were no hangovers the next day, so they clearly use the good stuff! | One morning, we took breakfast in our room, and this was delivered not just on a tray, but a proper table was brought up to our room, complete with a warming oven for our toast and pancakes. It was just as good as the breakfast in the foyer, which cannot always be said for room service. | If I could afford it, I would make a stay here a regular thing!","Guernsey, Channel Islands",11/4/2012
The Rembrandt,4,Very nice hotel! Great location!,"Lovely little hotel in a centrally located area. The hotel staff were very pleasant, although unable to accommodate the early .check in I had selected two days from an email the hotel SENT ME. The rooms were nice, clean and (for London) spacious. I have a universal gripe with all the hotels I've stayed in lately ... there isn't a top sheets or washcloth in hotel rooms anymore. I get too hot with a duvet but like to have a sheet thrown over me while I sleep. This is not specific to this hotel, I've experienced this everywhere. The only downside to this particular hotel was the breakfast included with the room rate was awful. The only good thing on the breakfast buffet was the sausage and the croissants. My son who will darn near eat anything didn't want to eat there. Overall, we were happy we stayed here.","Seattle, WA",8/9/2014
"Mandarin Oriental Hyde Park, London",4,Worth the price you pay,"We stayed 3 nights visiting London. I know this hotel is expensive, but it its worth it. The level of service at every position is at the highest standard. They use your name and make you feel special. The housekeeping crew does the little things that make it unbelievable - leave individual water for every person in the room with slippers and robes. Fresh fruit is kept filled in the bowl along with bottled apple juice. Your toiletries are neatly organized on top of linen. The ""Dinner"" restaurant is a wonderful experience and a must visit for anyone going to UK. The location of this hotel is walking distance to everything, best of all, a block away from Harrods. The only disappointment is for the price, you would expect WiFi to be free, but they do have a free computer room. I would recommend this hotel for the traveler who wants to feel special and expect high standards in a hotel.","Washington DC, District of Columbia",8/14/2011
The Savoy,5,<U+826F><U+3044><U+30DB><U+30C6><U+30EB><U+3067><U+3059>!,<U+590F><U+4F11><U+307F><U+306E><U+5BB6><U+65CF><U+65C5><U+884C><U+3067><U+5229><U+7528><U+3057><U+307E><U+3057><U+305F><U+3002><U+30B5><U+30FC><U+30D3><U+30B9><U+3001><U+96F0><U+56F2><U+6C17><U+306A><U+3069><U+3001><U+5168><U+822C><U+7684><U+306B><U+306F><U+3055><U+3059><U+304C><U+4E00><U+6D41><U+30DB><U+30C6><U+30EB><U+3068><U+3044><U+3063><U+305F><U+611F><U+3058><U+3067><U+3001><U+975E><U+5E38><U+306B><U+6C17><U+6301><U+3061><U+3088><U+304F><U+904E><U+3054><U+3055><U+305B><U+3066><U+3082><U+3089><U+3044><U+307E><U+3057><U+305F><U+3002><U+6562><U+3048><U+3066><U+8A00><U+3046><U+306A><U+3089><U+3070><U+3001>2<U+30D9><U+30C3><U+30C9><U+30EB><U+30FC><U+30E0><U+3067><U+3042><U+308B><U+3068><U+3044><U+3046><U+7406><U+7531><U+3067><U+30D5><U+30A1><U+30DF><U+30EA><U+30FC><U+30B9><U+30A4><U+30FC><U+30C8><U+3068><U+3044><U+3046><U+90E8><U+5C4B><U+3092><U+9078><U+3073><U+307E><U+3057><U+305F><U+304C><U+3001>2<U+3064><U+306E><U+30C4><U+30A4><U+30F3><U+30EB><U+30FC><U+30E0><U+304C><U+3064><U+306A><U+304C><U+3063><U+3066><U+3044><U+308B><U+3060><U+3051><U+3067><U+3001><U+300C><U+30B9><U+30A4><U+30FC><U+30C8><U+300D><U+3068><U+3044><U+3046><U+306B><U+306F><U+3061><U+3068><U+96E3><U+3057><U+3044><U+611F><U+304C><U+3042><U+308A><U+307E><U+3057><U+305F><U+3002><U+3042><U+308C><U+306A><U+3089><U+30C4><U+30A4><U+30F3><U+306E><U+30B3><U+30CD><U+30AF><U+30C6><U+30A3><U+30F3><U+30B0><U+3092><U+9078><U+3093><U+3060><U+65B9><U+304C><U+826F><U+304B><U+3063><U+305F><U+304B><U+306A><U+FF1F><U+3068><U+3044><U+3046><U+6C17><U+3082><U+3057><U+307E><U+3057><U+305F><U+304C><U+3001><U+30B9><U+30A4><U+30FC><U+30C8><U+306E><U+30D7><U+30ED><U+30B0><U+30E9><U+30E0><U+3068><U+3044><U+3046><U+3053><U+3068><U+3067><U+51B7><U+8535><U+5EAB><U+306E><U+30C9><U+30EA><U+30F3><U+30AF><U+7121><U+6599><U+306A><U+3069><U+8272><U+3093><U+306A><U+4ED8><U+52A0><U+4FA1><U+5024><U+304C><U+4ED8><U+3044><U+3066><U+3044><U+3066><U+5168><U+4F53><U+3068><U+3057><U+3066><U+306F><U+826F><U+304B><U+3063><U+305F><U+3068><U+601D><U+3044><U+307E><U+3059><U+3002><U+3042><U+3068><U+3001><U+5730><U+4E0B><U+9244><U+306B><U+3082><U+3046><U+5C11><U+3057><U+8FD1><U+3044><U+3068><U+4FBF><U+5229><U+3067><U+3059><U+304C><U+3001><U+307E><U+3042><U+4ED5><U+65B9><U+306A><U+3044><U+3067><U+3059><U+306D><U+3002> | <U+30B5><U+30F4><U+30A9><U+30A4>·<U+30B0><U+30EA><U+30EB><U+3092><U+306F><U+3058><U+3081><U+3001><U+30EC><U+30B9><U+30C8><U+30E9><U+30F3><U+3082><U+3057><U+3063><U+304B><U+308A><U+3057><U+3066><U+3044><U+3066><U+3001><U+3068><U+3066><U+3082><U+6C17><U+6301><U+3061><U+3088><U+304F><U+6EDE><U+5728><U+3067><U+304D><U+307E><U+3057><U+305F><U+3002><U+6B21><U+56DE><U+3082><U+662F><U+975E><U+5229><U+7528><U+3057><U+305F><U+3044><U+3068><U+601D><U+3044><U+307E><U+3059><U+3002>,<U+4E09><U+91CD><U+770C><U+3044><U+306A><U+3079><U+5E02>,8/21/2014
The Dorchester,5,My favourite hotel in London,"If you want five star service and old fashioned British glamour you won't go far wrong here. Rooms are a decent size for London, bathrooms are huge, elegantly appointed with fabulous full sized Floris toiletries. Ok it could all do with a little updating and i wasn't a fan of the cigarette smoke smell in the hallways but the service more than made up for these little issues. You are made to feel like a queen the minute you step inside, service is impeccable, they can even organise paying your congestion charge for you, a service i imagine is invaluable to foreign visitors who might be somewhat baffled by this ridiculous road tax. Best of all it is home to my favourite restaurant in London - Alain Ducasse - well worthy of it's three Michelin stars for the dessert trolly alone.","London, United Kingdom",12/26/2010
The Savoy,5,Classy,"The Savoy oozes class. It has the name, the location and the staff. And since its expensive renovation, it has the quality of room as well. If you want afternoon tea, you can't do better; the lemon curd is out of this world. | The only negative is the lack of a second easy chair in the bedroom (and the price). But on the latter point, you get what you pay for.","Surrey, United Kingdom",3/1/2015
The Savoy,2,"Not impressed by the hotel nor the steely eyed, unfavourable staff -","My first - and definitely last - stay at The Savoy. I understand that the hotel was completely overhauled in 2010 - and hats off to them for that; an accomplishment no doubt. However, I was simply not impressed - not even slightly. The rooms were so-so, the gym average and the (overpriced) food nothing to write home about. But that’s OK – I am a seasoned traveler and can deal with that. However, I think the thing that put me off was the staff located in the lobby. Every one of them seemed distant, cold, and detached - not very friendly and seldom smiled – they were very zombie like. Although, truth be told, the doorman out front who hailed the cab for me each morning was awesome! Full of character and bounce - he always greeted me with a big warm smile, made it a point to chat with me while I waited for the cab, and then wished me a good day. This totally made for a great start to the day; I actually looked forward to my cab ride each day, but dreaded having to walk across the lobby in order to get to the front door. =( For the record, if I could have commando rolled from the lift to the front door I would have gladly done so in order not to have to endure the condescending sneers of the staff in the lobby. Heck, I routinely walked right past one of the female greeters two days in a row and not once did she ever smile and say good morning to me - not once. I understand The Savoy history and what not, and it is indeed conveniently located in the theater district, but the lobby staff - put quite bluntly - flat out sucked. I will never stay here again unless by accident - or forced to. Actually, in hindsight, The Holiday Inn Express at the airport probably would have been a better and friendlier choice.","Hong Kong, China",3/24/2012
The Savoy,2,I can't go back,"Pre the rebuild it was possibly the best hotel in London then it was sold with the change in management so the affability and warmth evaporated. Now its brash, in your face and the expected subtleties previously attributed to it are long gone. | Nothing appeals and its a place you may go to the once now but see no reason to return. Its turned into a trashy Russo-Arab glitzy and not worth the cost of the evening. In short they have successfully killed a once great hotel",WAPPING LONDON,11/9/2015
Ridgemount Hotel,5,Always Welcoming,"We've been staying at the Ridgemount for more than 25 years. The owners are very kind and hospitable. The rooms are clean and adequate. Staff is friendly and the full breakfast will keep you going all day. The location is terrific. Great Hotel, nice people. | Many Americans have recently found the Ridgemount. Groups of American girls have a habit of coming to breakfast barefoot and or in their pajamas. Some even put their bare feet up on the chairs in the dining room. Ladies please try to understand, you are not at home, the hotels public space is not your personal space. Don’t be rude, put on some shoes and dress like an adult. We came down to the lobby one morning to find our path from the stairs blocked. An American girl was doing her yoga at the base of the stairs on the floor of the public lobby. She looked at us like we were supposed to find a way around her sweaty sprawl in consideration of her higher transcendent calling. So rude and thoughtless. Memo to American girls, either learn how to behave in public or stay home.","Sausalito, CA",7/1/2014
The Rembrandt,5,Another stay at The Rembrandt,"This was our latest of several visits to The Rembrandt. As before we found the staff both friendly and helpful, with the public areas and our room well appointed and spotlessly clean. Breakfast offered a wide selection of well prepared hot and cold options. An excellent hotel, perfect location and ideal for anyone visiting London. Book now.","Norwich, United Kingdom",9/17/2016
The Savoy,5,A wonderful experience,"Excelente hotel, con un estupendo servicio y magnífica ubicación. | Mi habitación era espaciosa y muy cómoda. La limpieza perfecta. | Sin duda que me gustaría volver a hospedarme en este encantador hotel lleno de historia además.","Santiago, Chile",11/28/2017
The Rembrandt,1,Cupboard room - not happy,"I stayed here in the idea of being close to the shops and museums etc. | Me and my partner wanted a little luxury &amp; found this hotel on offer. | We made our way to our room &amp; opened up, i was really annoyed as the size was very small. I am not the sort that gets annoyed with the size but we could have stayed in our usual hotel for a cheaper price. I made a complaint but this did not go any further.",United Kingdom,11/2/2011
"Hotel Xenia, Autograph Collection",5,Trip to Albert Hall,"Hotel was excellent, staff very friendly and attentive, taxi to Albert Hall was £6 so good value, 10 minute walk from tube station and right next to a Sainsbury's. | Got a deal from voyageprive which included breakfast for us both (normally £25 each!), so worth shopping around for deals. | Hotel has been recently refurbished so everything is new and shiny. Would definitely recommend giving the Xenia a go.","Birmingham, United Kingdom",10/30/2013
Ridgemount Hotel,5,Accueillant et chaleureux,"Nous avons passé 3 nuits dans cet hôtel, familial et idéalement situé. Petit déjeuner à volonté servi à table. Les proprios sont très sympathiques et se propose toujours de vous aider pour vos déplacements. Nous le recommandons pour qui veut de ""l'authentique"".","Chalon-sur-Saone, France",6/1/2016
The Savoy,4,Reasonable. Enjoyed a few nights in the larger suites.,"Had a reasonable experience staying for a couple of nights in between Christmas 2012 and New Year. Stayed in room 558 which is a one bedroom suite. | Good points: | 1) The room size - But then you are paying for it.. | 2) Luxury finish to the entire building. | 3) Swimming pool. | Could do better: | 1) Sofa very hard and uncomfortable in living room. | 2) TV up very high on the wall in living room | 3) Butler service bit of a gimmick * | 4) Not overly child friendly. Not allowed in bar areas. | 5) Breakfast not included in room rate. Its an extra £30pp per day | 6) Tiny ""half"" bath. Even in a larger suite. | 7) Logistically difficult to get to from tube station with luggage. You will need a cab. | 8) Swimming pool 1.2m in all directions so not for young kids. | 9) Kids beds just basic camp beds. And crammed into the room. No thought design wise to room layouts when roll out beds are in there. Just jammed in. | Overall it was a pleasant (but not a WOW) experience. Probably if you come as a couple its great but with a 3yr old its not really suitable. | * Butler service: You are informed on the website that you get your own ""Personal Butler"" but its not really true because its actually lots of different people (we had three) A guy called Francies, then a lady in the morning then a younger guy the next evening. They bring you coffee and I paid £30 to have a shirt ironed but other than that they dont ""do"" anything really. I unpacked my own case. Packed it myself. Cleaned my own shoes. So I do not think they added anything to the experience. When I did call butler to book a restaurant I was told to call concierge. I am sure if you are spending big cash they are useful. Maybe they were being discrete. And I am thinking I haven't seen them!",LONDON,12/29/2012
The Dorchester,5,Superb stay. Perfect hotel,"This hotel was excellent. Our stay was superb. The staff were exceptional, everyone of them very friendly and polite. The room was amazing and on checking in we were upgraded. | Afternoon Tea in the promenade was an experience i will never forget. If you are looking for a luxury hotel in London i believe the Dorchester is at the top. Thank you for such a fantastic stay. We will be back.",kent,11/25/2012
